id,bid_month,system_time,real_lowest_price_time,real_lowest_price,real_lowest_price_from,real_lowest_price_to,bid_date,alert_price,avg_price,bid_people_num,bid_percent,license_num,lowest_price,lowest_price_time,lowest_price_time_order
7404,201612,11:29:30,11:28:45,87400,87100,87700,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7405,201612,11:29:31,11:28:42,87400,87100,87700,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7406,201612,11:29:32,11:28:40,87400,87100,87700,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7407,201612,11:29:33,11:28:38,87400,87100,87700,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7408,201612,11:29:34,11:28:36,87400,87100,87700,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7409,201612,11:29:35,11:28:31,87400,87100,87700,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7410,201612,11:29:36,11:28:24,87400,87100,87700,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7411,201612,11:29:37,11:28:17,87400,87100,87700,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7412,201612,11:29:38,11:28:13,87400,87100,87700,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7413,201612,11:29:39,11:28:08,87400,87100,87700,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7414,201612,11:29:40,11:27:59,87400,87100,87700,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7415,201612,11:29:41,11:27:46,87400,87100,87700,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7416,201612,11:29:42,11:27:34,87400,87100,87700,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7417,201612,11:29:43,11:27:17,87400,87100,87700,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7418,201612,11:29:44,11:29:15,87500,87200,87800,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7419,201612,11:29:45,11:29:17,87600,87300,87900,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7420,201612,11:29:46,11:29:37,87700,87400,88000,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7421,201612,11:29:47,11:29:13,87700,87400,88000,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7422,201612,11:29:48,11:29:44,87800,87500,88100,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7423,201612,11:29:49,11:29:44,87800,87500,88100,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7424,201612,11:29:50,11:29:48,87900,87600,88200,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7425,201612,11:29:51,11:29:46,87900,87600,88200,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7426,201612,11:29:52,11:29:45,87900,87600,88200,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7427,201612,11:29:53,11:29:45,87900,87600,88200,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7428,201612,11:29:54,11:29:52,88000,87700,88300,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7429,201612,11:29:55,11:29:47,88000,87700,88300,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7430,201612,11:29:56,11:29:46,88000,87700,88300,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7431,201612,11:29:57,11:29:52,88100,87800,88400,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7432,201612,11:29:58,11:29:48,88100,87800,88400,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7433,201612,11:29:59,11:29:53,88200,87900,88500,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
7434,201612,11:30:00,11:29:54,88300,88000,88600,2016-12-17,86800,88412,219882,5.58%,12261,88300,11:29:54,1512
1363,201611,11:29:30,11:29:20,87500,87200,87800,2016-11-19,86800,88665,215424,5.36%,11549,88600,11:29:57,2181
1364,201611,11:29:31,11:28:59,87500,87200,87800,2016-11-19,86800,88665,215424,5.36%,11549,88600,11:29:57,2181
