lowest_price_to,system_time,lowest_price_from,lowest_price,bid_month,lowest_price_time,bid_people_num
400,10:54:30,-200,100,201003,10:22:37,8813
400,10:54:31,-200,100,201003,10:22:14,8821
400,10:54:32,-200,100,201003,10:22:03,8827
400,10:54:33,-200,100,201003,10:21:46,8836
400,10:54:34,-200,100,201003,10:21:32,8848
400,10:54:35,-200,100,201003,10:20:57,8857
400,10:54:36,-200,100,201003,10:20:46,8866
400,10:54:37,-200,100,201003,10:20:00,8880
400,10:54:38,-200,100,201003,10:19:33,8891
400,10:54:39,-200,100,201003,10:18:51,8907
400,10:54:40,-200,100,201003,10:18:37,8914
400,10:54:41,-200,100,201003,10:18:17,8925
400,10:54:42,-200,100,201003,10:17:55,8931
400,10:54:43,-200,100,201003,10:17:39,8940
400,10:54:44,-200,100,201003,10:17:18,8949
400,10:54:45,-200,100,201003,10:17:03,8956
400,10:54:46,-200,100,201003,10:16:50,8963
400,10:54:47,-200,100,201003,10:16:32,8967
400,10:54:48,-200,100,201003,10:16:20,8975
400,10:54:49,-200,100,201003,10:16:02,8985
400,10:54:50,-200,100,201003,10:15:16,8998
400,10:54:51,-200,100,201003,10:14:45,9012
400,10:54:52,-200,100,201003,10:14:32,9020
400,10:54:53,-200,100,201003,10:14:18,9034
400,10:54:54,-200,100,201003,10:14:02,9043
400,10:54:55,-200,100,201003,10:13:35,9054
400,10:54:56,-200,100,201003,10:13:08,9060
400,10:54:57,-200,100,201003,10:12:57,9065
400,10:54:58,-200,100,201003,10:12:50,9071
400,10:54:59,-200,100,201003,10:12:43,9075
400,10:55:00,-200,100,201003,10:12:25,9085
400,10:55:01,-200,100,201003,10:11:42,9105
400,10:55:02,-200,100,201003,10:11:42,9106
400,10:55:03,-200,100,201003,10:11:19,9119
400,10:55:04,-200,100,201003,10:11:01,9132
400,10:55:05,-200,100,201003,10:10:52,9140
400,10:55:06,-200,100,201003,10:10:47,9148
400,10:55:07,-200,100,201003,10:10:33,9157
400,10:55:08,-200,100,201003,10:10:04,9173
400,10:55:09,-200,100,201003,10:09:47,9182
400,10:55:10,-200,100,201003,10:09:33,9193
400,10:55:11,-200,100,201003,10:08:57,9215
400,10:55:12,-200,100,201003,10:08:39,9233
400,10:55:13,-200,100,201003,10:08:17,9249
400,10:55:14,-200,100,201003,10:08:13,9256
400,10:55:15,-200,100,201003,10:07:54,9271
400,10:55:16,-200,100,201003,10:07:34,9285
400,10:55:17,-200,100,201003,10:07:18,9300
400,10:55:18,-200,100,201003,10:07:03,9313
400,10:55:19,-200,100,201003,10:06:43,9326
400,10:55:20,-200,100,201003,10:06:25,9342
400,10:55:21,-200,100,201003,10:05:53,9359
400,10:55:22,-200,100,201003,10:05:39,9373
400,10:55:23,-200,100,201003,10:05:31,9383
400,10:55:24,-200,100,201003,10:05:01,9398
400,10:55:25,-200,100,201003,10:04:51,9414
400,10:55:26,-200,100,201003,10:04:40,9426
400,10:55:27,-200,100,201003,10:04:29,9436
400,10:55:28,-200,100,201003,10:04:16,9449
400,10:55:29,-200,100,201003,10:04:05,9456
